21664,ROMAINE LETTUCE BABY GEM,18-24 CT,CASE,"True Harvest, Belton TX","AU,DA",,,,,,,,,
04819,SWEET POTATO ,40#,CASE ,"Fredericksburg Peach, Spicewood TX","AU,DA,HO",,,,,,,,,
80004,TURNIP GREENS  * ,24 CT ,CASE,"Rio Fresh Farm, San Juan TX",On Request,,,,,,,,,
,                                           * Available by pre-order,  ** Local produce brought in seasonally,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ITEM#,BREADS,PACK,UOM,ARTISAN,AVAILABLE LOCATION,,,,,,,,,
25435,APPLE CINNAMON MUFFIN MIX GF,18#,CASE,"Maui Muffins, Plano TX","AU,DA",,,,,,,,,
09134,ASSORTED BREAD ROLL FZN  NEW,12 DZ,CASE ,"The New World Bakery, Kyle TX",AU,,,,,,,,,
23397,BANANA NUT GLUTEN FREE,18#,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
23396,BANANA NUT MUFFIN MIX,18#,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
09256,"BISTRO BUN 4.5"" FZN ",8 DZ,CASE ,"The New World Bakery, Kyle TX","AU,DA,HO",,,,,,,,,
23395,BLUEBERRY GLUTEN FREE,18#,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
25437,BLUEBERRY BAN MUFFIN MIX VEGAN,9#,CASE,"Maui Muffins, Plano TX","AU,DA",,,,,,,,,
30004,"BREAD BOWL 8 OZ 7 1/2"" WIDE ",24 CT,CASE ,"The New World Bakery, Kyle TX",AU,,,,,,,,,
09287,BREAD PITA BREAD FZN ,6 / 10 CT,CASE ,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
16010,BRIOCHE BREAD LOAF ,10 CT ,CASE ,"The New World Bakery, Kyle TX","AU,DA,HO",,,,,,,,,
15547,"BRIOCHE BREAD LOAF 1"" SLICED  * ",10 CT ,CASE ,"The New World Bakery, Kyle TX",HO,,,,,,,,,
08964,"BRIOCHE BUN  4"" FZN",10 DZ,CASE,"The New World Bakery, Kyle TX","AU,DA,HO",,,,,,,,,
08965,"BRIOCHE BUN 4""",8 DZ,CASE,"The New World Bakery, Kyle TX",On Request,,,,,,,,,
30986,"BUN WHOLE WHEAT 4"" ",10 / 12CT,CASE ,"The New World Bakery, Kyle TX",AU,,,,,,,,,
11643,"CHALLAH BUN W/O SS 4.5""  ",8 DZ ,CASE ,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
09758,CHIABATTA LOAF FZ ,8 CT,CASE ,"The New World Bakery, Kyle TX",DA,,,,,,,,,
30345,CHOCOLATE CHIP COOKIE MIX * ,4/10#,CASE ,"Homestead Gristmill, Waco TX",HO,,,,,,,,,
23620,CHOCOLATE CHUNK COOKIE DOUGH,144 / 1.5OZ,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
25465,CHOCOLATE CHUNK COOKIE DOUGH GF,144 / 2OZ,CASE,"Maui Muffins, Plano TX",AU,,,,,,,,,
01006,CORN MEAL YELL LOCAL HOMESTEAD ,10#,BOX,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
09378,"CORN TORTILLAS 100% NATURAL  6""  ",16/30 CT,CASE,"El Milagro, San Marcos TX","AU,DA",,,,,,,,,
11653,"CORN TORTILLAS 100% NATURAL  6"" FR   ",16/30 CT,CASE,"El Milagro, San Marcos TX","AU,DA",,,,,,,,,
30344,CORNBREAD MIX NEW,4 / 10#,CASE ,"Homestead Gristmill, Waco TX",AU,,,,,,,,,
23399,CRANBERRY ORANGE MUFFIN BATTER,18# ,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
25982,DELUXE CHOCOLATE MUFFIN BATTER GF,18# ,CASE,"Maui Muffins, Plano TX","AU,DA",,,,,,,,,
23392,DUTCH APPLE CINNAMON MUFFIN BATTER ,18# ,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
09377,"FLOUR BURRITO TORTILLAS 12"" EM   ",5/12 CT,CASE,"El Milagro, San Marcos TX","AU,DA",,,,,,,,,
09375,"FLOUR REG TORTILLAS 6"" TACO EM  ",24/16 CT,CASE,"El Milagro, San Marcos TX","AU,DA",,,,,,,,,
27541,"FLOUR REGULAR TORTILLAS 6"" FZN ",16/24 CT,CASE ,"El Milagro, San Marcos TX","AU,DA",,,,,,,,,
18423,"FLOUR TORTILLAS 5"" TACO ",20/24 CT,CASE ,"El Milagro, San Marcos TX","AU,DA,HO",,,,,,,,,
11861,"FLOUR TORTILLAS10"" REF",5/12 CT,CASE ,"El Milagro, San Marcos TX","AU,HO",,,,,,,,,
